選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71或以上,總計,2015推算人口
D11,薄扶林,17,-5,-4,43,-15,30,-18,63,-22,4,45,10,148,19996
D12,置富,17,-2,-16,-23,18,36,-56,-55,-21,30,80,32,40,16062
D13,田灣,-8,2,16,-20,18,-27,-82,30,-2,35,44,-9,-3,16716
D14,石漁,24,-48,6,-4,24,-18,-48,5,-16,28,12,26,-9,18474
D15,黃竹坑,4,1,5,-31,-68,-6,-32,70,-35,4,44,-44,-88,17251
D16,海灣,5,3,-3,-1,14,5,6,-25,6,-10,28,15,43,18417
D17,赤柱及石澳,11,-7,10,1,-55,44,5,-49,31,13,58,20,82,22008
E01,尖沙咀西,22,15,43,19,43,7,39,52,13,37,44,38,372,20881
E02,佐敦南,11,9,19,-14,-2,-10,25,-6,9,-38,52,9,64,18327
E03,佐敦西,8,-17,-4,-42,-35,10,9,-37,-32,-9,21,-26,-154,14818
E04,油麻地南,33,9,16,8,-14,4,12,9,23,10,56,4,170,19918
E05,富榮,68,-10,-14,-15,-78,14,-33,22,49,-2,23,32,56,17628
E06,旺角西,15,-39,33,-8,0,-3,-1,-28,-12,-8,41,-24,-34,15423
E07,富柏,70,8,26,20,-21,-13,15,25,59,36,39,29,293,18820
E08,奧運,10,16,10,11,77,20,57,39,27,21,33,31,352,18162
E09,櫻桃,15,8,-8,-10,-9,-23,20,-23,-37,-8,23,-80,-132,15676
E10,大角咀南,12,-8,28,7,-14,44,-16,-11,-18,-14,29,5,44,16214
E11,大角咀北,35,-17,21,11,-16,5,77,14,18,5,30,1,184,18474
E12,大南,25,-36,26,5,2,31,-15,2,29,-7,42,1,105,20432
E13,旺角北,19,-23,25,13,-41,-6,6,-37,15,-14,28,8,-7,17859
E14,旺角東,16,1,0,-8,25,-12,22,-10,-8,-7,54,-14,59,15742
E15,旺角南,-3,-20,12,-16,0,-12,-11,-24,-8,-24,41,-16,-81,16293
E16,油麻地北,13,16,5,6,2,0,13,-4,11,9,28,12,111,12817
E17,尖東及京士柏,8,34,3,-2,15,11,4,33,1,14,15,20,156,15185
E18,尖沙咀中,18,-2,-6,-1,-9,39,-21,0,8,-18,22,1,31,16871
E19,佐敦北,6,12,10,-46,7,8,0,3,0,-17,30,-21,-8,13558
F01,寶麗,2,-14,25,35,-10,20,-31,2,-1,42,52,-22,100,19254
F02,長沙灣,35,-22,-10,40,-3,-7,-1,-7,10,42,31,-20,88,16864
F03,南昌北,36,-29,23,13,18,3,11,-2,22,14,19,-14,114,19807
F04,石硤尾,47,7,53,6,8,41,5,22,36,22,108,45,400,20852
F05,南昌東,15,-2,18,16,38,15,9,-3,-10,34,36,4,170,18487
F06,南昌南,8,0,5,11,20,-3,7,-40,-11,-1,56,-57,-5,20737
F07,南昌中,5,1,-21,-21,-4,25,-18,-37,10,8,28,-14,-38,18413
F08,南昌西,3,-28,16,53,17,44,-4,-11,9,44,29,4,176,20523
F09,富昌,50,44,55,88,33,10,37,-29,32,86,105,-7,504,20270
F10,麗閣,34,-6,20,-11,15,5,-6,-28,32,18,37,0,110,14379
F11,幸福,-1,25,20,18,22,39,1,53,41,8,56,5,287,15401
F12,荔枝角南,100,17,32,-11,0,25,0,4,-11,88,65,-1,308,17514
F13,美孚南,47,-21,-5,13,4,36,42,-57,16,1,54,23,153,17304
F14,美孚中,8,-34,23,-22,-9,24,50,-5,-4,24,-9,45,91,14675
F15,美孚北,21,-4,-21,-14,4,28,23,0,-10,2,63,3,95,16929
F16,荔枝角中,25,14,35,-12,-16,121,74,100,43,-3,49,30,460,19882
F17,荔枝角北,17,3,34,48,14,11,18,-25,17,42,41,-70,150,14042
F18,元州及蘇屋,21,16,17,18,-5,18,-15,12,16,38,11,-7,140,18626
F19,李鄭屋,7,-24,7,9,1,0,-25,-52,8,45,9,16,1,13110
F20,下白田,36,-23,59,-7,17,6,-24,26,11,57,38,32,228,14701
F21,又一村,5,6,23,-16,-10,-10,-25,-35,32,8,29,-17,-10,16484
F22,南山、大坑東及大坑西,26,-22,29,17,-14,44,-69,62,-4,13,50,-5,127,16244
F23,龍坪及上白田,8,-2,34,-4,14,41,-18,-20,-3,52,87,31,220,16794
G01,馬頭圍,17,-5,19,4,0,47,-50,-26,-27,26,53,7,65,19205
G02,馬坑涌,14,-9,6,-29,11,12,-22,-10,5,1,37,6,22,20012
G03,馬頭角,9,-16,1,6,-20,-11,-11,-41,-1,-37,42,-19,-98,14990
G04,樂民,5,-3,32,-3,-16,9,-10,13,-2,-1,30,8,62,16110
G05,常樂,37,-16,37,17,-39,-19,0,29,26,43,36,-3,148,16095
G06,何文田,15,-23,17,-16,-58,15,34,-23,-7,-10,57,-1,0,20651
