選區編號,選區,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,61-65,66-70,71+,新增登記選民,2015 推算人口
Q07,維景,73,24,24,57,49,66,41,28,16,10,10,6,3,407,15002
L24,寶田,66,23,22,26,34,50,30,33,34,29,29,11,19,406,19100
F16,荔枝角中,68,20,43,36,60,52,36,33,21,10,10,6,10,405,19882
T05,東涌南,117,67,47,25,26,36,21,28,13,6,6,6,6,404,18489
G18,黃埔東,106,56,48,33,32,31,20,23,15,14,14,4,7,403,18187
Q02,白沙灣,77,26,31,36,37,42,38,44,28,12,12,9,11,403,18728
K16,梨木樹西,98,56,33,34,33,40,33,26,13,11,11,4,10,402,15745
G11,宋皇臺,85,27,27,34,38,47,39,25,18,18,18,6,20,402,20487
F11,幸福,61,31,29,29,51,41,33,26,15,28,28,13,16,401,15401
J28,寶樂,94,45,39,22,27,27,33,32,21,17,17,14,12,400,14443
D01,香港仔,88,45,38,48,34,38,24,22,26,11,11,6,8,399,19698
S13,華麗,82,46,28,36,30,30,22,27,23,13,13,12,36,398,16655
C29,下耀東,74,59,40,35,26,24,20,34,23,15,15,20,12,397,16389
C28,西灣河,68,44,32,44,35,37,25,26,13,16,16,15,26,397,19482
S20,偉盈,134,51,28,26,24,24,25,24,11,16,16,9,8,396,19576
M18,頌華,117,54,32,35,23,21,20,29,21,14,14,8,7,395,15311
G17,鶴園海逸,80,35,44,27,49,40,23,26,29,12,12,12,6,395,18930
F18,元州及蘇屋,85,42,29,19,23,26,31,30,22,22,22,11,31,393,18626
E13,旺角北,47,37,45,46,18,36,23,32,27,26,26,11,19,393,17859
M30,頌栢,113,27,39,37,38,28,31,20,22,10,10,8,8,391,15681
M17,瑞華,122,73,39,24,18,14,23,25,18,11,11,4,8,390,15299
K07,荃灣中心,71,37,53,55,45,36,17,25,17,9,9,9,6,389,16595
S28,青發,69,68,55,44,18,14,17,24,23,18,18,13,8,389,18267
J18,廣德,96,42,34,25,27,30,23,17,17,24,24,11,18,388,19310
C18,和富,72,38,35,46,37,25,28,29,17,17,17,11,16,388,21058
G02,馬坑涌,86,38,34,28,49,33,28,29,15,15,15,7,10,387,20012
F13,美孚南,82,20,31,36,32,36,28,19,28,25,25,12,13,387,17304
Q13,軍寶,69,28,33,40,63,61,42,23,10,5,5,6,2,387,13726
F08,南昌西,56,29,40,40,26,38,37,21,22,25,25,10,17,386,20523
N02,粉嶺市,100,37,31,28,34,37,22,35,18,14,14,6,8,384,13501
H14,竹園南,94,39,32,17,18,24,22,23,27,23,23,10,29,381,15103
Q05,坑口西,89,35,36,26,31,38,26,31,18,18,18,5,10,381,15591
E05,富榮,117,26,27,28,23,36,28,23,16,15,15,9,17,380,17628
P19,西貢北,89,24,25,20,20,45,42,38,25,17,17,12,6,380,15475
M14,廈村,84,37,23,35,37,29,20,33,27,16,16,8,14,379,15364
M07,鳳翔,75,46,40,34,36,28,22,32,22,10,10,3,18,376,15611
G07,嘉道理,73,31,30,29,35,33,30,32,28,17,17,7,12,374,18756
