Polling Station Code,District Code,"Geographical
 Constituency",No. of Electors*,8:30,9:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30,總投票人數,"Morning Vote
(7:30-12:30)","Afternoon Vote
(12:30-6:30)","Night Vote
(6:30-10:30)",Morning Percentage,Afternoon Percentage,Night Percentage,八點半後的投票率
R0601,R,LC5,"4,452",32,123,275,443,618,783,972,"1,126","1,312","1,458","1,637","1,809","1,966","2,136","2,290","2,290",618,"1,019",653,26.99%,44.50%,28.52%,0.1414847162
R0602,R,LC5,"3,688",44,121,237,380,597,749,842,"1,073","1,255","1,422","1,574","1,715","1,882","2,037","2,185","2,185",597,977,611,27.32%,44.71%,27.96%,0.1386727689
R0701,R,LC5,"9,928",65,276,595,944,"1,291","1,572","1,880","2,143","2,386","2,649","2,932","3,260","3,526","3,766","4,032","4,032","1,291","1,641","1,100",32.02%,40.70%,27.28%,0.1254960317
R0801,R,LC5,"11,590",92,292,615,939,"1,333","1,640","2,038","2,372","2,710","3,077","3,365","3,723","4,028","4,295","4,634","4,634","1,333","2,032","1,269",28.77%,43.85%,27.38%,0.1307725507
R0901,R,LC5,"8,183",54,206,436,755,"1,073","1,334","1,660","1,933","2,205","2,483","2,716","2,982","3,251","3,502","3,741","3,741","1,073","1,643","1,025",28.68%,43.92%,27.40%,0.1309810211
R1001,R,LC5,"8,817",58,313,623,953,"1,305","1,626","1,957","2,244","2,532","2,826","3,119","3,453","3,711","3,969","4,252","4,252","1,305","1,814","1,133",30.69%,42.66%,26.65%,0.1272342427
R1101,R,LC5,"5,787",55,152,325,511,670,843,"1,008","1,152","1,330","1,498","1,655","1,823","1,985","2,108","2,242","2,242",670,985,587,29.88%,43.93%,26.18%,0.1146297948
R1102,R,LC5,"2,924",24,58,119,229,348,458,586,668,778,880,989,"1,069","1,165","1,279","1,375","1,375",348,641,386,25.31%,46.62%,28.07%,0.1527272727
R1201,R,LC5,"8,596",63,227,514,814,"1,139","1,396","1,724","2,009","2,287","2,606","2,917","3,204","3,483","3,760","3,989","3,989","1,139","1,778","1,072",28.55%,44.57%,26.87%,0.1268488343
R1301,R,LC5,"3,145",40,114,211,328,458,593,710,818,922,"1,056","1,164","1,277","1,379","1,472","1,576","1,576",458,706,412,29.06%,44.80%,26.14%,0.125
R1302,R,LC5,"6,195",70,157,301,487,702,879,"1,045","1,207","1,391","1,601","1,813","2,015","2,188","2,353","2,526","2,526",702,"1,111",713,27.79%,43.98%,28.23%,0.1338083927
R1401,R,LC5,"7,815",36,164,323,568,778,"1,021","1,220","1,426","1,646","1,852","2,096","2,328","2,612","2,846","3,133","3,133",778,"1,318","1,037",24.83%,42.07%,33.10%,0.1662942866
R1501,R,LC5,"4,798",48,119,252,406,657,853,"1,085","1,304","1,468","1,691","1,907","2,053","2,222","2,463","2,682","2,682",657,"1,250",775,24.50%,46.61%,28.90%,0.1715137957
R1502,R,LC5,"4,053",30,96,200,338,474,600,728,833,971,"1,095","1,251","1,390","1,506","1,631","1,745","1,745",474,777,494,27.16%,44.53%,28.31%,0.1369627507
R1601,R,LC5,"10,050",65,180,395,672,979,"1,238","1,521","1,775","2,050","2,342","2,603","2,923","3,254","3,591","3,878","3,878",979,"1,624","1,275",25.24%,41.88%,32.88%,0.1609076844
R1602,R,LC5,"1,863",20,64,136,211,297,375,477,562,665,737,811,877,946,"1,042","1,129","1,129",297,514,318,26.31%,45.53%,28.17%,0.1620903454
R1701,R,LC5,"8,474",48,203,403,623,891,"1,182","1,440","1,702","1,969","2,230","2,494","2,765","3,021","3,240","3,468","3,468",891,"1,603",974,25.69%,46.22%,28.09%,0.1288927336
R1801,R,LC5,"9,479",67,243,490,820,"1,137","1,374","1,665","1,859","2,116","2,381","2,690","3,009","3,310","3,584","3,879","3,879","1,137","1,553","1,189",29.31%,40.04%,30.65%,0.1466872905
R1901,R,LC5,"10,372",74,338,713,"1,112","1,472","1,782","2,168","2,503","2,844","3,176","3,529","3,836","4,179","4,475","4,795","4,795","1,472","2,057","1,266",30.70%,42.90%,26.40%,0.1284671533
R1902,R,LC5,"1,834",20,52,107,168,212,257,334,399,465,525,592,647,709,771,821,821,212,380,229,25.82%,46.29%,27.89%,0.1364190012
R2001,R,LC5,"7,079",65,219,450,687,959,"1,187","1,467","1,729","1,985","2,218","2,456","2,712","2,908","3,161","3,409","3,409",959,"1,497",953,28.13%,43.91%,27.96%,0.146963919
R2002,R,LC5,837,12,30,57,77,101,143,175,212,246,276,300,322,359,392,428,428,101,199,128,23.60%,46.50%,29.91%,0.1612149533
R2101,R,LC5,"7,848",50,229,499,796,"1,154","1,462","1,773","2,099","2,476","2,761","3,068","3,368","3,622","3,965","4,273","4,273","1,154","1,914","1,205",27.01%,44.79%,28.20%,0.1523519775
R2201,R,LC5,"7,526",40,147,308,576,860,"1,105","1,396","1,644","1,967","2,241","2,503","2,750","3,042","3,288","3,607","3,607",860,"1,643","1,104",23.84%,45.55%,30.61%,0.1566398669
R2301,R,LC5,"1,668",17,42,94,149,222,287,341,394,462,500,579,641,682,720,763,763,222,357,184,29.10%,46.79%,24.12%,0.1061598952
R2302,R,LC5,"4,499",37,125,247,451,648,850,"1,046","1,279","1,433","1,595","1,815","1,999","2,186","2,419","2,678","2,678",648,"1,167",863,24.20%,43.58%,32.23%,0.1837191934
R2401,R,LC5,"10,873",76,279,623,"1,045","1,416","1,821","2,214","2,622","3,074","3,483","3,870","4,220","4,609","5,042","5,499","5,499","1,416","2,454","1,629",25.75%,44.63%,29.62%,0.1618476087
R2501,R,LC5,"11,953",81,289,615,"1,098","1,585","2,026","2,426","2,877","3,353","3,867","4,272","4,722","5,152","5,521","6,039","6,039","1,585","2,687","1,767",26.25%,44.49%,29.26%,0.1468786223
R2601,R,LC5,"9,080",59,200,435,774,"1,155","1,518","1,930","2,315","2,721","3,081","3,400","3,748","4,094","4,488","4,931","4,931","1,155","2,245","1,531",23.42%,45.53%,31.05%,0.1697424458
R2801,R,LC5,"13,129",88,314,697,"1,147","1,643","2,167","2,614","3,118","3,608","4,137","4,564","5,034","5,434","5,955","6,484","6,484","1,643","2,921","1,920",25.34%,45.05%,29.61%,0.1619370759
R2901,R,LC5,"13,820",96,363,740,"1,254","1,775","2,305","2,810","3,314","3,840","4,299","4,772","5,316","5,785","6,345","6,897","6,897","1,775","2,997","2,125",25.74%,43.45%,30.81%,0.1612295201
R3001,R,LC5,"6,907",58,201,417,673,858,"1,164","1,419","1,651","1,889","2,129","2,362","2,652","2,908","3,169","3,478","3,478",858,"1,504","1,116",24.67%,43.24%,32.09%,0.1638872915
R3002,R,LC5,"3,625",18,86,179,329,473,629,752,899,"1,071","1,218","1,373","1,528","1,678","1,850","2,038","2,038",473,900,665,23.21%,44.16%,32.63%,0.1766437684
R3101,R,LC5,"13,210",71,308,623,"1,034","1,472","1,886","2,258","2,647","3,044","3,489","3,961","4,406","4,825","5,322","5,758","5,758","1,472","2,489","1,797",25.56%,43.23%,31.21%,0.162035429
R3201,R,LC5,"9,340",42,193,431,698,982,"1,260","1,513","1,772","2,070","2,336","2,636","2,941","3,187","3,418","3,705","3,705",982,"1,654","1,069",26.50%,44.64%,28.85%,0.1398110661
