Code,Name,Sex,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+,source_file
S03,上大窩口 Upper Tai Wo Hau,M,111.0,231.0,204.0,147.0,237.0,332.0,314.0,342.0,345.0,293.0,309.0,864.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S03,上大窩口 Upper Tai Wo Hau,F,98.0,239.0,192.0,157.0,247.0,353.0,342.0,388.0,336.0,251.0,240.0,628.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S04,下大窩口 Lower Tai Wo Hau,M,99.0,254.0,251.0,267.0,271.0,285.0,316.0,428.0,498.0,462.0,375.0,871.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S04,下大窩口 Lower Tai Wo Hau,F,99.0,234.0,295.0,285.0,303.0,292.0,348.0,375.0,450.0,377.0,287.0,746.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S05,葵涌邨北 Kwai Chung Estate North,M,260.0,450.0,276.0,218.0,360.0,540.0,539.0,492.0,441.0,355.0,251.0,294.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S05,葵涌邨北 Kwai Chung Estate North,F,270.0,477.0,347.0,227.0,265.0,389.0,387.0,464.0,542.0,423.0,292.0,389.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S06,葵涌邨南 Kwai Chung Estate South,M,229.0,478.0,262.0,216.0,378.0,557.0,512.0,571.0,464.0,324.0,296.0,688.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S06,葵涌邨南 Kwai Chung Estate South,F,254.0,471.0,362.0,240.0,297.0,546.0,440.0,552.0,534.0,390.0,309.0,536.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S07,石蔭 Shek Yam,M,229.0,506.0,445.0,297.0,365.0,494.0,594.0,626.0,535.0,505.0,377.0,1291.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S07,石蔭 Shek Yam,F,195.0,523.0,433.0,312.0,324.0,461.0,575.0,612.0,551.0,478.0,344.0,1013.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S08,安蔭 On Yam,M,139.0,297.0,243.0,182.0,259.0,361.0,447.0,387.0,340.0,308.0,451.0,1461.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S08,安蔭 On Yam,F,146.0,273.0,259.0,186.0,263.0,426.0,609.0,451.0,371.0,257.0,252.0,1103.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S09,石籬南 Shek Lei South,M,168.0,414.0,343.0,318.0,358.0,411.0,527.0,569.0,574.0,569.0,537.0,1256.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S09,石籬南 Shek Lei South,F,172.0,383.0,363.0,341.0,379.0,425.0,483.0,495.0,477.0,429.0,405.0,1045.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S10,石籬北 Shek Lei North,M,288.0,508.0,422.0,257.0,288.0,418.0,506.0,547.0,452.0,402.0,304.0,612.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S10,石籬北 Shek Lei North,F,298.0,557.0,456.0,278.0,250.0,360.0,420.0,478.0,560.0,445.0,334.0,725.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S11,大白田 Tai Pak Tin,M,118.0,272.0,308.0,376.0,376.0,397.0,367.0,477.0,509.0,406.0,390.0,563.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S11,大白田 Tai Pak Tin,F,122.0,314.0,355.0,408.0,393.0,422.0,358.0,441.0,476.0,397.0,357.0,618.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S12,葵芳 Kwai Fong,M,142.0,397.0,378.0,249.0,264.0,400.0,417.0,532.0,488.0,409.0,510.0,1248.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S12,葵芳 Kwai Fong,F,157.0,460.0,317.0,235.0,286.0,470.0,447.0,450.0,531.0,350.0,349.0,1090.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S13,華麗 Wah Lai,M,116.0,337.0,283.0,231.0,290.0,333.0,371.0,470.0,498.0,468.0,492.0,781.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
S13,華麗 Wah Lai,F,126.0,330.0,291.0,233.0,283.0,413.0,329.0,433.0,490.0,418.0,389.0,856.0,tabula-Age and Sex profile of registered electors by 431 District Council Constituency Areas in 2017PR_S.csv.xlsx
